# omega DOS_nb5 DOS_nb9 DOS_nb19 DOS_nb29
-2.000000000000000000e+00 1.227999999999999925e-02 1.291999999999999919e-02 1.163999999999999931e-02 9.799999999999999684e-03
-1.995999999999999996e+00 1.183999999999999983e-02 1.239999999999999956e-02 1.231999999999999935e-02 9.839999999999999789e-03
-1.991999999999999993e+00 1.156000000000000083e-02 1.187999999999999994e-02 1.303999999999999951e-02 9.960000000000000103e-03
-1.987999999999999989e+00 1.144000000000000052e-02 1.144000000000000052e-02 1.355999999999999914e-02 1.012000000000000052e-02
-1.983999999999999986e+00 1.144000000000000052e-02 1.111999999999999968e-02 1.379999999999999977e-02 1.035999999999999942e-02
-1.979999999999999982e+00 1.156000000000000083e-02 1.091999999999999915e-02 1.367999999999999945e-02 1.064000000000000015e-02
-1.975999999999999979e+00 1.179999999999999973e-02 1.080000000000000057e-02 1.324000000000000003e-02 1.103999999999999947e-02
-1.971999999999999975e+00 1.216000000000000067e-02 1.080000000000000057e-02 1.264000000000000019e-02 1.156000000000000083e-02
-1.967999999999999972e+00 1.268000000000000030e-02 1.088000000000000078e-02 1.212000000000000056e-02 1.220000000000000077e-02
-1.963999999999999968e+00 1.324000000000000003e-02 1.103999999999999947e-02 1.167999999999999941e-02 1.295999999999999930e-02
-1.959999999999999964e+00 1.379999999999999977e-02 1.128000000000000010e-02 1.136000000000000031e-02 1.375999999999999966e-02
-1.955999999999999961e+00 1.416000000000000071e-02 1.163999999999999931e-02 1.111999999999999968e-02 1.447999999999999982e-02
-1.951999999999999957e+00 1.420000000000000082e-02 1.212000000000000056e-02 1.099999999999999936e-02 1.491999999999999924e-02
-1.947999999999999954e+00 1.396000000000000019e-02 1.272000000000000040e-02 1.095999999999999926e-02 1.495999999999999934e-02
-1.943999999999999950e+00 1.352000000000000077e-02 1.344000000000000056e-02 1.099999999999999936e-02 1.456000000000000003e-02
-1.939999999999999947e+00 1.303999999999999951e-02 1.423999999999999919e-02 1.111999999999999968e-02 1.396000000000000019e-02
-1.935999999999999943e+00 1.264000000000000019e-02 1.491999999999999924e-02 1.128000000000000010e-02 1.332000000000000024e-02
-1.931999999999999940e+00 1.235999999999999946e-02 1.536000000000000039e-02 1.156000000000000083e-02 1.276000000000000051e-02
-1.927999999999999936e+00 1.220000000000000077e-02 1.536000000000000039e-02 1.192000000000000004e-02 1.231999999999999935e-02
-1.923999999999999932e+00 1.216000000000000067e-02 1.499999999999999944e-02 1.243999999999999967e-02 1.204000000000000035e-02
-1.919999999999999929e+00 1.220000000000000077e-02 1.439999999999999961e-02 1.303999999999999951e-02 1.183999999999999983e-02
-1.915999999999999925e+00 1.239999999999999956e-02 1.379999999999999977e-02 1.383999999999999987e-02 1.175999999999999962e-02
-1.911999999999999922e+00 1.268000000000000030e-02 1.328000000000000014e-02 1.476000000000000055e-02 1.175999999999999962e-02
